Sci Wavl,Sci Flux,Sci Variance
12372.656683660305,nan,nan
12372.746461424147,nan,nan
12372.836228446839,nan,nan
12372.92598444729,nan,nan
12373.015729422594,0.7532883478926214,1.87575883325378e-06
12373.105463369855,0.7837251175126965,1.954610930533864e-06
12373.195186286175,0.8032257060348674,2.002597596939443e-06
12373.284898168677,0.8053678455306377,2.0102842223756072e-06
12373.374599014454,0.8043183857574476,2.009651800770554e-06
12373.464288820636,0.8104917103866381,2.025565768858655e-06
12373.55396758433,0.8092610696982588,2.025500247114609e-06
12373.643635302666,0.8078174872968087,2.026319464308055e-06
12373.73329197276,0.8089237014503045,2.026254333349759e-06
12373.822937591742,0.8043063852287026,2.0044282979152236e-06
12373.912572156745,0.7980428310600752,1.9971915971389676e-06
12374.002195664894,0.8022203685064621,2.0110720464471543e-06
12374.091808113335,0.7942302721007106,1.9798842173290847e-06
12374.181409499199,0.7795423467530224,1.935388830811998e-06
12374.270999819633,0.7593653073736933,1.9010566092893195e-06
12374.36057907178,0.7674933647452437,1.9098922750917398e-06
12374.450147252783,0.7877315797523109,1.975253927241913e-06
12374.539704359799,0.8050388686298509,2.0134842366186007e-06
12374.629250389975,0.8058027519107233,2.013490098404847e-06
12374.718785340478,0.8064695482071617,2.0184136080662666e-06
12374.808309208462,0.7999086877060899,2.005013694968387e-06
12374.897821991086,0.7950046220081577,1.9804259766401895e-06
12374.987323685516,0.7838253625310108,1.953119431588888e-06
12375.076814288932,0.7801190939691027,1.9536898485216436e-06
12375.166293798495,0.7873905120932396,1.971477113232251e-06
12375.255762211376,0.7935404672717159,1.991758242336008e-06
12375.345219524763,0.7868460670522777,1.9723924637201413e-06
12375.434665735831,0.7817139913081884,1.9596326576803936e-06
12375.524100841765,0.7819958683893892,1.9298891726934934e-06
12375.61352483975,0.7964131051187668,1.9664607268243017e-06
12375.702937726974,0.7982632618249195,1.9985349882847783e-06
12375.79233950063,0.7821507925086023,1.956389917528758e-06
12375.881730157917,0.76650697542012,1.910839670011112e-06
12375.971109696027,0.772378662698973,1.9251899740524454e-06
12376.060478112164,0.7922562302369112,1.9743424846115204e-06
12376.149835403534,0.8121948831730481,2.033582999039129e-06
12376.239181567344,0.813010738668636,2.0264105173877523e-06
12376.3285166008,0.8121571672255635,2.0303816821769692e-06
12376.417840501115,0.8056639788790694,2.016543307467842e-06
12376.507153265511,0.8044580610844959,2.0181787458306516e-06
12376.596454891202,0.7963069049508497,1.9938688761705444e-06
12376.685745375404,0.7963271163676836,1.98335895395417e-06
12376.775024715354,0.7959868607744672,1.982649938342161e-06
12376.864292908269,0.7931146740751134,1.976903954939381e-06
12376.953549951382,0.7782230104273767,1.9424459004052742e-06
12377.042795841931,0.7675905419592172,1.9172580654273384e-06
12377.132030577151,0.7697501859856382,1.925116245807654e-06
